ترکه	tarke
ناگهان	nAgahAn
گنجانیده	gonjAnide
مکی	makki
قدیمی‏	qadimi
مشرق‌زمین	maSreqzamin
کم‌رنگ	kamrang
حقیر	haqir
تذکره‌نویس	tazkarenevis
کادیلاک	kAdilAk
ماهو	mAhu
امیدواری	'omidvAri
راهپیمایی	rAhpeymAyi
چابک‌سوار	CAboksavAr
ضایعاتی	zAye'Ati
تعدی	ta'addi
غیرکشاورزی	qeyrekeSAvarzi
رقاصک	raqqAsak
مخاطی	moxAti
آبار	'AbAr
مزور	mozavver
غلطکی	qaltaki
تخریب‌گر	taxribgar
بابی	bAbi
مرسین	marsin
مارکس	mArks
عدالت‌‌طلبانه	'edAlattalabAne
بدجوری	badjuri
منصوب	mansub
والاهمت	vAlAhemmat
پادار	pAdAr
محامد	mahAmed
شهید	Sahid
است	'ast
تاریخدار	tArixdAr
ترشروئی	torSru'i
قرنیه	qarniye
کری	kari
گلنوش	golnuS
وارث	vAres
داغان	dAqAn
سهره‌ها	sehrehA
الکتریک	'elekterik
شنگرف	Sangarf
رامین	rAmin
چشمه‌دوزی	CeSmeduzi
آبستان	'AbestAn
زمستانی	zemestAni
نورکافت	nurkAft
بلبله	bolbole
چاکر	CAker
سپرد	sepord
گردگیری	gardgiri
افواه	'afvAh
جعفریه	ja'fariyye
الوار	'alvAr
پیام‌گیر	payAmgir
مساعدت	mosA'edat
وامی	vAmi
وقتی‌که	vaqtike
خاکسترنشین	xAkestarneSin
نزاع	nezA'
همنهشتی	hamneheSti
هوش‌ربا	huSrobA
پردل	pordel
حق‌تعالی	haqta'AlA
بازداشت	bAzdASt
عبادت	'ebAdat
سرپناه	sarpanAh
قرابه	qorAbe
متون	motun
بسته	baste
پرسیده	porside
هیجان‌آور	hayajAnAvar
خونین‌شهر	xuninSahr
جاویدی	jAvidi
ارتفاعات	'ertefA'At
هرندی	harandi
جمله‌ای	jomle'i
ابتلا	'ebtelA
مسئولیت‌پذیر	mas'uliyyatpazir
قسط‌‌بندی	qestbandi
بدون	bedune
حاشیه‌ای	hASiye'i
قرعه	qor'e
شمرده	Semorde
نادیده	nAdide
فی‌نفسه	finafse
رقیق	raqiq
مشروطه	maSrute
صرصر	sarsar
خوشباش	xoSbAS
باقر	bAqer
تشویش	taSviS
موسویان	musaviyAn
ترفع	taraffo'
غیردارویی	qeyredAruyi
تشنیع	taSni'
دسترسی	dastresi
سیاست‌‌دان	siyAsatdAn
واخواه	vAxAh
غورباغه	qurbAqe
بمبک	bambak
ماوقع	mAvaqa'
اسید‌سیتریک	'asidsitrik
بازیار	bAzyAr
شا	SA
مبشر	mobaSSer
نکته	nokte
فلز	felezz
یکدل	yekdel
دیوان‌خانه	divAnxAne
سرخ‌کردنی	sorxkardani
استوانه‌ای	'ostovAne'i
شبتاب	SabtAb
سنن	sonan
سنگ‌شناسی	sangSenAsi
آمیزش	'AmizeS
مجالست	mojAlesat
شب‌‌کار	SabkAr
پنبه‌ای	panbe'i
مشتاقانه	moStAqAne
خداشهر	xodASahr
قهوه	qahve
اطاعت	'etA'at
چربی	Carbi
مشرقی	maSreqi
آزادی‌بخش	'AzAdibaxS
کوچک‌‌سازی	kuCaksAzi
مشاطه	maSSAte
متملق	motemalleq
پارلمانی	pArlemAni
پیش	piS
اتومبیلرانی	'otomobilrAni
مکلا	mokallA
صفت‌‌الله	sefatollAh
بی‌تحملی	bitahammoli
خداآفرین	xodA'Afarin
زربفت	zarbaft
ساره	sAre
همچنان	hamCenAn
شکارگری	SekArgari
مرکز	markaz
مورب	movarrab
نورزی	nurzi
الله‌وردی	'allAhverdi
خوشه	xuSe
مشارالیه	moSAr'elayh
سنجابی	sanjAbi
پررفت‌و‌آمد	porrafto'Amad
بی‌حاصلی	bihAseli
سیاح	sayyAh
قرقره‌‌ای	qerqere'i
صنایع	sanAye'
گذارنده	gozArande
عبدمناف	'abdemanAf
مشائی	maSSA'i
دولتی	dowlati
سهمی	sahmi
درشت	doroSt
خداوند	xodAvand
گریخته	gorixte
فتحعلی‌‌شاه	fath'aliSAh
زاگرس	zAgros
آکد	'Aked
کشتی‌گیر	koStigir
هرتس	herts
نوامر	novAmr
که	kah
زامبیا	zAmbiyA
شکمی	Sekami
استبدادی	'estebdAdi
پدروار	pedarvAr
سوئیچ	su'iC
ققنوس	qoqnus
اعظم‌السادات	'a'zamossAdAt
عصبی	'asabi
پیش‌قراول	piSqarAvol
ماده	mAdde
دکارت	dekArt
که	kah
چکیده‌نویسی	Cekidenevisi
صبوحی	sabuhi
دعوت‌شده	da'vatSode
ارژنگی	'arZangi
این‌قدر	'inqadr
یونانی‌نشین	yunAnineSin
سهراب‌‌نژاد	sohrAbneZAd
شیبانی	SeybAni
دزدی	dozdi
راست‌گویی	rAstguyi
قل‌قل	qolqol
سیمکشی	simkeSi
مبانی	mabAni
فرزدق	farazdaq
پاشنده	pASande
سیستم	sistem
جای‌جای	jAyjAy
انشائی	'enSA'i
متقاعد‌کننده	moteqA'edkonande
اقنوم	'oqnum
صباغ‌‌زاده	sabbAqzAde
اشکریز	'aSkriz
بادنجانی	bAdemjAni
بطانه	batAne
صف‌‌بندی	safbandi
اسطوره‌ای	'osture'i
خوش‌خیم	xoSxim
